,Crude1,WTI_Midland,Brent,RBOB,Ethanol,Corn,CAD_Heavy,VIX,ULSD,OPEC_Basket,RBOB_Crack,GC_ULSD_Crack,NY_ULSD_Crack,NG_HB,S_P,VLO
2017-01-05,53.76,-0.06,56.89,1.6377,1.507,361.25,-15.044,13.025,1.6942,53.02,21.45,14.58,17.13,3.273,2264.3,60.913052
2017-01-06,53.99,-0.11,57.1,1.634,1.551,358.0,-14.459,12.875,1.7032,53.5,21.45,14.69,17.27,3.285,2271.5,59.995036999999996
2017-01-09,51.96,-0.22,54.94,1.5707,1.524,360.0,-14.296,12.925,1.6376,52.85,20.94,14.27,16.68,3.103,2265.0,59.73403199999999
2017-01-10,50.82,-0.17,53.64,1.5467,1.503,358.25,-14.193,12.875,1.6114,51.46,21.15,14.44,16.72,3.278,2263.7,59.878029000000005
2017-01-11,52.25,-0.17,55.1,1.5929,1.492,357.25,-14.232,12.525,1.6524,50.98,21.64,14.67,16.96,3.224,2270.6,60.373043
2017-01-12,53.01,-0.22,56.01,1.6108,1.475,358.25,-14.234,12.475,1.6756,52.3,21.59,14.63,17.08,3.386,2263.4,59.869034
2017-01-13,52.37,-0.27,55.45,1.6117,1.476,358.5,-14.203,12.175,1.6514,52.64,22.24,14.42,16.88,3.419,2272.5,59.752033
2017-01-17,52.48,-0.18,55.47,1.6004,1.506,365.5,-14.084,12.175,1.6486,52.6,21.92,14.28,16.75,3.412,2262.7,59.572033
2017-01-18,51.08,0.03,53.92,1.5487,1.503,365.0,-14.084,14.175,1.6092,52.22,21.53,13.9,16.61,3.302,2266.6,60.076035
2017-01-19,51.37,0.09,54.16,1.5345,1.475,366.25,-14.084,14.225,1.6183,51.45,21.09,14.05,16.68,3.368,2261.6,59.464024
2017-01-20,52.42,0.19,55.49,1.566,1.49,369.75,-14.0,13.825,1.6459,51.8,21.31,14.1,16.7,3.204,2265.9,59.617027
2017-01-23,52.75,0.36,55.23,1.5667,1.492,369.5,-13.85,13.575,1.6265,52.1,21.81,14.0,16.58,3.243,2262.0,59.62603000000001
2017-01-24,53.18,0.28,55.44,1.5759,1.461,363.25,-14.0,13.025,1.6415,52.51,21.96,14.18,16.64,3.279,2274.6,61.075054
2017-01-25,52.75,0.28,55.08,1.5238,1.441,366.25,-13.65,12.725,1.6114,52.14,20.89,13.98,16.43,3.332,2293.9,61.498066
2017-01-26,53.78,0.37,56.24,1.5427,1.461,363.75,-13.5,12.675,1.6409,52.91,20.7,14.1,16.47,3.382,2294.1,60.634052000000004
2017-01-27,53.17,0.37,55.52,1.5271,1.476,362.5,-13.4,12.525,1.6189,52.88,20.48,14.07,16.43,3.391,2289.1,60.580051
2017-01-30,52.63,0.22,55.23,1.5055,1.48,357.75,-13.35,12.875,1.6067,52.78,20.29,14.1,16.43,3.232,2276.0,61.408073
2017-01-31,52.81,0.22,55.58,1.5256,1.493,359.75,-13.3,12.925,1.6117,52.19,20.72,14.11,16.43,3.117,2274.5,59.185013
2017-02-01,53.88,0.17,56.8,1.5791,1.481,368.25,-13.667,12.675,1.674,52.76,20.82,14.12,16.27,3.168,2274.5,58.834011
2017-02-02,53.54,0.22,56.56,1.5329,1.489,367.5,-13.556,12.925,1.6518,53.93,19.71,14.12,15.71,3.187,2275.4,58.879017000000005
2017-02-03,53.83,0.22,56.81,1.5537,1.489,365.25,-13.602,12.475,1.6651,54.24,20.22,14.16,15.94,3.063,2291.0,58.960014
2017-02-06,53.01,0.27,55.72,1.5103,1.54,363.75,-13.689,12.475,1.6352,53.77,19.59,13.83,15.58,3.05,2286.5,58.60000600000001
2017-02-07,52.17,0.27,55.05,1.4875,1.572,368.5,-13.825,12.575,1.6221,52.78,19.47,14.13,15.81,3.13,2288.4,58.897003000000005
2017-02-08,52.34,0.37,55.12,1.5527,1.604,370.75,-14.197,12.575,1.636,52.13,20.93,14.6,16.12,3.126,2290.2,60.373043
2017-02-09,53.0,0.37,55.63,1.5702,1.589,369.5,-14.029,12.025,1.6415,52.76,20.9,14.27,15.86,3.141,2304.3,60.859058
2017-02-10,53.86,0.42,56.7,1.5896,1.601,374.5,-14.14,11.725,1.6659,53.23,20.83,14.38,15.96,3.034,2312.7,60.724045
2017-02-13,52.93,0.28,55.59,1.5446,1.585,375.5,-14.036,11.425,1.6273,53.47,20.34,13.97,15.55,2.944,2326.3,60.969593
2017-02-14,53.2,0.33,55.97,1.5467,1.542,374.25,-14.035,11.175,1.6382,53.31,20.28,14.07,15.65,2.905,2337.0,61.497085999999996
2017-02-15,53.11,0.28,55.75,1.5479,1.553,378.75,-14.021,12.875,1.6305,53.1,20.44,13.96,15.55,2.925,2350.4,61.624396999999995
2017-02-16,53.36,0.13,55.65,1.5247,1.541,373.5,-14.021,12.975,1.6291,53.14,19.48,14.0,15.44,2.854,2345.6,60.569435
2017-02-17,53.4,-0.16,55.81,1.5166,1.52,368.25,-14.021,13.125,1.6364,53.11,19.28,14.1,15.55,2.834,2347.9,59.559937
2017-02-21,54.06,-0.16,56.66,1.494,1.498,369.25,-14.1,13.175,1.6425,53.88,17.97,14.01,15.45,2.564,2360.0,60.26931
2017-02-22,53.59,-0.16,55.84,1.5133,1.504,371.0,-14.35,13.225,1.6296,53.48,19.15,14.2,15.49,2.592,2360.9,60.03286
2017-02-23,54.45,-0.26,56.58,1.5286,1.506,365.5,-13.95,13.525,1.6567,53.95,18.84,14.17,15.55,2.617,2362.8,60.960499
2017-02-24,53.99,-0.21,55.99,1.5148,1.504,364.0,-13.6,13.325,1.6404,53.61,18.83,14.13,15.52,2.627,2364.9,60.678577000000004
2017-02-27,54.05,-0.31,55.93,1.5327,1.505,360.25,-13.75,13.275,1.6399,53.85,18.97,14.12,15.51,2.693,2368.3,61.151478000000004
2017-02-28,54.01,-0.36,56.51,1.512,1.525,366.75,-13.95,13.525,1.6208,53.4,18.47,14.08,15.47,2.774,2362.8,61.797192
2017-03-01,53.83,-0.4,56.36,1.678,1.521,375.75,-13.801,13.275,1.6241,54.15,16.49,14.1,14.22,2.799,2393.5,62.279202000000005
2017-03-02,52.61,-0.5,55.08,1.6433,1.477,372.75,-14.03,13.275,1.5791,53.74,16.26,14.1,13.59,2.804,2381.9,60.433014
2017-03-03,53.33,-0.48,55.9,1.6531,1.477,374.75,-14.235,12.825,1.5936,53.01,15.98,12.11,13.48,2.827,2381.2,60.096518999999994
2017-03-06,53.2,-0.47,56.01,1.6723,1.506,372.75,-14.273,12.675,1.6045,53.13,16.78,12.51,13.98,2.901,2375.4,60.423931
2017-03-07,53.14,-0.55,55.92,1.6798,1.491,369.5,-14.167,12.625,1.6139,53.54,17.09,12.86,14.35,2.824,2366.4,59.678185
2017-03-08,50.28,-0.58,53.11,1.6526,1.485,365.25,-14.248,12.675,1.5567,52.69,18.42,13.15,14.7,2.901,2364.1,60.814994999999996
2017-03-09,49.28,-0.58,52.19,1.6243,1.488,359.75,-14.323,12.775,1.5295,50.82,18.27,13.01,14.59,2.974,2366.3,60.460304
2017-03-10,48.49,-0.59,51.37,1.6001,1.52,358.0,-14.329,12.525,1.5036,49.81,18.12,12.79,14.39,3.008,2371.8,60.542156000000006
2017-03-13,48.4,-0.63,51.35,1.5807,1.533,354.5,-14.355,12.125,1.5006,49.0,17.65,12.74,14.36,3.043,2375.0,61.533466000000004
