Date,VLO,Crude1,WTI_Midland,Brent,RBOB,ULSD,OPEC_Basket,S_P
1/5/2017,60.913052,53.76,-0.06,56.89,1.6377,1.6942,53.02,2264.3
1/6/2017,59.995037,53.99,-0.11,57.1,1.634,1.7032,53.5,2271.5
1/9/2017,59.734032,51.96,-0.22,54.94,1.5707,1.6376,52.85,2265
1/10/2017,59.878029,50.82,-0.17,53.64,1.5467,1.6114,51.46,2263.7
1/11/2017,60.373043,52.25,-0.17,55.1,1.5929,1.6524,50.98,2270.6
1/12/2017,59.869034,53.01,-0.22,56.01,1.6108,1.6756,52.3,2263.4
1/13/2017,59.752033,52.37,-0.27,55.45,1.6117,1.6514,52.64,2272.5
1/17/2017,59.572033,52.48,-0.18,55.47,1.6004,1.6486,52.6,2262.7
1/18/2017,60.076035,51.08,0.03,53.92,1.5487,1.6092,52.22,2266.6
1/19/2017,59.464024,51.37,0.09,54.16,1.5345,1.6183,51.45,2261.6
1/20/2017,59.617027,52.42,0.19,55.49,1.566,1.6459,51.8,2265.9
1/23/2017,59.62603,52.75,0.36,55.23,1.5667,1.6265,52.1,2262
1/24/2017,61.075054,53.18,0.28,55.44,1.5759,1.6415,52.51,2274.6
1/25/2017,61.498066,52.75,0.28,55.08,1.5238,1.6114,52.14,2293.9
1/26/2017,60.634052,53.78,0.37,56.24,1.5427,1.6409,52.91,2294.1
1/27/2017,60.580051,53.17,0.37,55.52,1.5271,1.6189,52.88,2289.1
1/30/2017,61.408073,52.63,0.22,55.23,1.5055,1.6067,52.78,2276
1/31/2017,59.185013,52.81,0.22,55.58,1.5256,1.6117,52.19,2274.5
2/1/2017,58.834011,53.88,0.17,56.8,1.5791,1.674,52.76,2274.5
2/2/2017,58.879017,53.54,0.22,56.56,1.5329,1.6518,53.93,2275.4
2/3/2017,58.960014,53.83,0.22,56.81,1.5537,1.6651,54.24,2291
2/6/2017,58.600006,53.01,0.27,55.72,1.5103,1.6352,53.77,2286.5
2/7/2017,58.897003,52.17,0.27,55.05,1.4875,1.6221,52.78,2288.4
2/8/2017,60.373043,52.34,0.37,55.12,1.5527,1.636,52.13,2290.2
2/9/2017,60.859058,53,0.37,55.63,1.5702,1.6415,52.76,2304.3
2/10/2017,60.724045,53.86,0.42,56.7,1.5896,1.6659,53.23,2312.7
2/13/2017,60.969593,52.93,0.28,55.59,1.5446,1.6273,53.47,2326.3
2/14/2017,61.497086,53.2,0.33,55.97,1.5467,1.6382,53.31,2337
2/15/2017,61.624397,53.11,0.28,55.75,1.5479,1.6305,53.1,2350.4
2/16/2017,60.569435,53.36,0.13,55.65,1.5247,1.6291,53.14,2345.6
2/17/2017,59.559937,53.4,-0.16,55.81,1.5166,1.6364,53.11,2347.9
2/21/2017,60.26931,54.06,-0.16,56.66,1.494,1.6425,53.88,2360
2/22/2017,60.03286,53.59,-0.16,55.84,1.5133,1.6296,53.48,2360.9
2/23/2017,60.960499,54.45,-0.26,56.58,1.5286,1.6567,53.95,2362.8
2/24/2017,60.678577,53.99,-0.21,55.99,1.5148,1.6404,53.61,2364.9
2/27/2017,61.151478,54.05,-0.31,55.93,1.5327,1.6399,53.85,2368.3
2/28/2017,61.797192,54.01,-0.36,56.51,1.512,1.6208,53.4,2362.8
3/1/2017,62.279202,53.83,-0.4,56.36,1.678,1.6241,54.15,2393.5
3/2/2017,60.433014,52.61,-0.5,55.08,1.6433,1.5791,53.74,2381.9
3/3/2017,60.096519,53.33,-0.48,55.9,1.6531,1.5936,53.01,2381.2
3/6/2017,60.423931,53.2,-0.47,56.01,1.6723,1.6045,53.13,2375.4
3/7/2017,59.678185,53.14,-0.55,55.92,1.6798,1.6139,53.54,2366.4
3/8/2017,60.814995,50.28,-0.58,53.11,1.6526,1.5567,52.69,2364.1
3/9/2017,60.460304,49.28,-0.58,52.19,1.6243,1.5295,50.82,2366.3
3/10/2017,60.542156,48.49,-0.59,51.37,1.6001,1.5036,49.81,2371.8
3/13/2017,61.533466,48.4,-0.63,51.35,1.5807,1.5006,49,2375
3/14/2017,61.333378,47.72,-0.7,50.92,1.5835,1.4919,48.63,2366.4
3/15/2017,62.506573,48.86,-0.65,51.81,1.5834,1.5124,49.17,2383.7
3/16/2017,62.342873,48.75,-0.7,51.74,1.5942,1.5043,49.7,2382.7
3/17/2017,62.661171,48.78,-0.82,51.76,1.5989,1.5085,49.36,2385.8
3/20/2017,62.32468,48.22,-0.97,51.62,1.6113,1.5141,49.18,2370.3
3/21/2017,61.069637,47.34,-0.99,50.96,1.6052,1.5033,49.23,2342.2
3/22/2017,61.451599,48.04,-0.92,50.64,1.6019,1.4968,48.28,2342.6
3/23/2017,61.024166,47.7,-0.97,50.56,1.5896,1.4901,48.35,2340
3/24/2017,59.823689,47.97,-1,50.8,1.6048,1.4976,48.26,2344.8
3/27/2017,60.232937,47.73,-0.91,50.75,1.6189,1.5025,48.25,2338.4
3/28/2017,60.287514,48.37,-0.91,51.33,1.6349,1.5167,48.84,2351.4
3/29/2017,61.060532,49.51,-0.91,52.42,1.672,1.5425,49.54,2357
3/30/2017,60.232937,50.35,-0.91,52.96,1.6812,1.5582,50.2,2364.6
3/31/2017,60.287514,50.6,-0.92,53.53,1.7001,1.5736,50.43,2359.2
4/3/2017,60.232937,50.24,-0.93,53.12,1.6937,1.5634,50.69,2356.1
4/4/2017,59.850971,51.03,-0.93,54.17,1.7217,1.5923,50.6,2356.6
4/5/2017,59.196163,51.15,-1.42,54.36,1.7153,1.6035,51.96,2346.6
4/6/2017,59.177982,51.7,-1.29,54.89,1.7296,1.6129,51.84,2353.7
4/7/2017,59.632706,52.24,-1.26,55.24,1.7462,1.6284,52.92,2352.2
4/10/2017,59.432629,53.08,-1.25,55.98,1.7581,1.6473,53.14,2352.5
4/11/2017,59.687263,53.4,-1.35,56.23,1.7577,1.6506,53.37,2351.1
4/12/2017,59.23254,53.11,-1.4,55.86,1.7417,1.652,53.69,2340.8
4/13/2017,58.823292,53.18,-1.4,55.89,1.7349,1.6495,53.38,2327.4
4/17/2017,59.287113,52.65,-1.43,55.36,1.7196,1.6329,52.96,2345
4/18/2017,58.341286,52.41,-1.39,54.89,1.711,1.6219,52.3,2337.3
4/19/2017,57.741047,50.44,-1.36,52.93,1.659,1.5813,51.9,2333.7
4/20/2017,58.295811,50.27,-1.31,52.99,1.6705,1.5789,50.49,2352.1
4/21/2017,59.323486,49.62,-1.27,51.96,1.6445,1.5533,50.01,2347.4
4/24/2017,60.76952,49.23,-1.23,51.6,1.6214,1.5427,49.66,2370
4/25/2017,59.869164,49.56,-1.22,52.1,1.623,1.5452,49.22,2385
4/26/2017,59.02338,49.62,-1.22,51.82,1.5903,1.5367,49.65,2382.2
4/27/2017,59.405338,48.97,-1.21,51.44,1.55,1.5072,48.9,2386.1
4/28/2017,58.759632,49.33,-1.2,51.73,1.548,1.504,49.33,2380.5
5/1/2017,58.532269,48.84,-1.19,51.52,1.5272,1.4878,49.19,2386.9
5/2/2017,58.650497,47.66,-1.19,50.46,1.5136,1.468,49.02,2385.8
5/3/2017,59.02338,47.82,-0.88,50.79,1.5338,1.4736,48.38,2383.2
5/4/2017,58.541363,45.52,-0.72,48.38,1.4812,1.4123,47.49,2385.5
5/5/2017,59.423523,46.22,-0.76,49.1,1.5046,1.4366,46.6,2397.7
5/8/2017,60.123814,46.43,-0.75,49.34,1.5178,1.4556,46.91,2395
5/9/2017,60.596714,45.88,-0.71,48.73,1.4895,1.4421,46.88,2393.3
5/10/2017,60.642185,47.33,-0.67,50.22,1.5396,1.4754,47.35,2395.3
5/11/2017,60.342075,47.83,-0.63,50.77,1.5622,1.4899,48.41,2391.1
5/12/2017,60.405727,47.84,-0.63,50.84,1.5761,1.4933,48.31,2388.7
5/15/2017,60.249485,48.85,-0.58,51.82,1.5954,1.5096,49.77,2398.4
5/16/2017,59.321152,48.66,-0.57,51.65,1.6043,1.5164,49.75,2397.1
5/17/2017,58.640991,49.07,-0.51,52.21,1.6027,1.5335,49.48,2357.5
5/18/2017,58.402016,49.35,-0.47,52.51,1.6063,1.5453,49.91,2363.6
5/19/2017,58.705334,50.33,-0.48,53.61,1.6523,1.5827,50.91,2381.5
5/22/2017,58.677757,50.73,-0.54,53.87,1.6626,1.6021,51.54,2392.7
5/23/2017,58.935116,51.47,-0.55,54.15,1.6614,1.6067,51.34,2398
5/24/2017,58.650185,51.36,-0.58,53.96,1.6526,1.6063,51.96,2401.9
5/25/2017,58.080318,48.9,-0.6,51.46,1.6093,1.5509,51.24,2413.4
5/26/2017,57.400158,49.8,-0.6,52.15,1.6426,1.5633,49.48,2413.8
5/30/2017,57.069263,49.66,-0.61,51.84,1.6389,1.5494,49.39,2410.7
5/31/2017,56.499401,48.32,-0.6,50.76,1.6122,1.5153,48.69,2411.1
6/1/2017,57.096844,48.36,-0.6,50.63,1.6014,1.5017,48.85,2429.6
6/2/2017,57.078453,47.66,-0.6,49.95,1.5771,1.4848,47.33,2437.7
6/5/2017,57.354198,47.4,-0.71,49.47,1.5381,1.4593,47.37,2434.5
6/6/2017,57.253098,48.19,-0.76,50.12,1.5545,1.4662,46.98,2430.8
6/7/2017,57.262287,45.72,-0.84,48.06,1.4913,1.4162,46.78,2431.9
6/8/2017,58.071125,45.64,-0.79,47.86,1.4919,1.4223,45.78,2432.5
6/9/2017,59.982937,45.83,-0.77,48.15,1.5017,1.4312,45.49,2430.5
6/12/2017,60.589561,46.08,-0.73,48.29,1.488,1.4254,45.94,2428.5
6/13/2017,61.150234,46.46,-0.69,48.72,1.4995,1.4477,46.01,2440
6/14/2017,59.514172,44.73,-0.7,47,1.4327,1.4102,45.16,2437.2
6/15/2017,59.459026,44.46,-0.73,46.92,1.4357,1.4146,44.38,2434.3
6/16/2017,60.479275,44.74,-0.79,47.37,1.4548,1.427,44.58,2434.89
6/19/2017,61.223774,44.2,-0.8,46.91,1.4506,1.4111,44.46,2447.5
